wallet,tx_count,total_value_eth_sent,total_value_eth_received,avg_gas,unique_recipients,unique_senders,contract_call_ratio,tx_frequency,tokens_sent_count,tokens_received_count,unique_tokens_sent,unique_tokens_received
0x0000fdf3af21c329851de8e981178928e472edd9,5.0,0.0023204082862043,0.0,800000.0,1.0,0.0,1.0,5.0,0.0,4.0,0.0,2.0
0x000211da80de3672277ab9bbb04824cb3f2a9f21,4.0,0.0,0.0,109113.5,4.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0
0x00028746f1971b58ef6cecdedfff547daa4eb9b6,2.0,0.0,0.0,64037.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0
0x0003b5aa5e30e97fcc596bb5d0f3a75255e08d4e,2.0,91.04871972,7166.3739263864,210000.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
0x0008fd281b152a9084b8796094a1a7a8499cd0ec,4.0,0.093,0.0042480772520498,883858.5,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
0x000b52b4edce45077359802bad12d9d697dde304,8.0,1.55,0.0,184743.75,2.0,0.0,1.0,8.0,2.0,4.0,1.0,1.0
0x000ba527862e5b82cff0f7c66b646af023274aa1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,48.0,2.0,2.0
0x000caba1002917b27300d7b67be2d1c51b93bf00,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,17.0,18.0,1.0,1.0
0x000cb000e880a92a8f383d69da2142a969b93de7,8.0,0.0,0.0,94752.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
0x000d4411cdeb152378626b5c5e33fd5d6808939a,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0x000f0d54d08875add4e2531245f970e880e31cb9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,3.0
0x00100e55f5c74f5c81dea9f2ac9b2abf72423e05,10.0,0.0,1e-09,153654.7,6.0,1.0,1.0,10.0,11.0,6.0,4.0,4.0
0x001087bc197aa40bb0c6893112fec044e32156c4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,2.0,2.0
0x0011201930ce3e89e7d75c84d47c6e59baf2b94d,11.0,0.0,0.0,153259.18181818182,5.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0
