wallet,pca1,pca2,umap1,umap2,km_cluster,db_cluster,hdb_cluster,archetype
0x00000f91109c4d0007e90000d9facad5298a0cac,-3.7681869852899736,4.735237708151129,13.035838,-8.916122,0,-1,3,Casual ETH user
0x000010036c0190e009a000d0fc3541100a07380a,-4.462495788817886,9.041408252788717,12.922559,-8.133421,0,-1,-1,Casual ETH user
0x0000317bec33af037b5fab2028f52d14658f6a56,-3.1499976691002387,1.5294092851960241,13.098147,-10.554376,0,4,3,Casual ETH user
0x00003f0b7045822689ce3a6118846218a2c22cfd,1.9635860865478083,0.2228737495286945,11.966299,7.74821,3,-1,-1,Token receiver / airdrop
0x00005ea00ac477b1030ce78506496e8c2de24bf5,-2.527116809764691,-2.6148221554138287,16.75602,-4.6617346,0,-1,-1,Casual ETH user
0x0000830df56616d58976a12d19d283b40e25beef,-3.412126784776766,3.1164469493328566,14.161617,-7.6988764,0,4,3,Casual ETH user
0x0000a26b00c1f0df003000390027140000faa719,-3.181573184677896,1.0465219508112356,10.269761,-9.127127,0,-1,-1,Casual ETH user
0x0000b8258eb0a75e660317f914294fd2482a453e,2.479452110552734,3.8444707727883993,10.930965,-0.5688553,3,3,8,Token receiver / airdrop
0x0000c94a3aadb903f436bb1000521c0023516000,-2.7645766562721774,-0.25356489872448756,13.86728,-11.636132,0,4,3,Casual ETH user
0x0000f07d2b5f1ddf3244b8780f972f306efd2888,-3.112087654068003,1.2764849282325998,14.80183,-9.982987,0,4,3,Casual ETH user
0x0000fdf3af21c329851de8e981178928e472edd9,1.3868187270730623,-0.5143478422222756,12.004239,8.220746,3,6,6,Token receiver / airdrop
0x000211da80de3672277ab9bbb04824cb3f2a9f21,1.444103246840994,0.7604520275268029,8.087875,2.0127025,3,3,8,Token receiver / airdrop
0x00028746f1971b58ef6cecdedfff547daa4eb9b6,0.5141568678404168,-0.31481238136880607,17.429907,-11.165636,3,3,8,Token receiver / airdrop
0x0003b5aa5e30e97fcc596bb5d0f3a75255e08d4e,2.2849689187539814,1.585511827898976,8.960059,-3.6221333,1,-1,-1,Active DeFi user
0x0008fd281b152a9084b8796094a1a7a8499cd0ec,1.2266213637497527,-0.4313412161015789,15.66457,-3.1412184,3,3,7,Token receiver / airdrop
0x000b52b4edce45077359802bad12d9d697dde304,1.969164840727574,0.634106704592936,10.843653,1.3518872,3,3,8,Token receiver / airdrop
0x000ba527862e5b82cff0f7c66b646af023274aa1,-3.430193051578551,2.8675830342212074,15.574198,-7.378414,0,4,3,Casual ETH user
0x000caba1002917b27300d7b67be2d1c51b93bf00,-3.2058753230719037,1.182779905109198,12.617526,-9.908835,0,-1,3,Casual ETH user
0x000cb000e880a92a8f383d69da2142a969b93de7,1.9262725079301046,-2.153316705574854,20.792343,-1.4732282,2,2,4,Likely bot / MEV
0x000d4411cdeb152378626b5c5e33fd5d6808939a,-2.300878972607168,-2.7339285685954335,28.86634,-6.6884437,0,1,0,Casual ETH user
0x000f0d54d08875add4e2531245f970e880e31cb9,-2.8590133375124123,0.4055656951508498,-12.910873,-7.5364327,0,4,3,Casual ETH user
0x00100e55f5c74f5c81dea9f2ac9b2abf72423e05,1.994560868361966,2.826468542541428,11.573082,-2.3135464,3,3,-1,Token receiver / airdrop
0x001087bc197aa40bb0c6893112fec044e32156c4,-3.1025736075925927,1.4949521259009226,0.7177953,11.484771,0,4,3,Casual ETH user
0x0011201930ce3e89e7d75c84d47c6e59baf2b94d,2.906452811155276,-1.9420775231879925,14.838411,7.086061,2,2,4,Likely bot / MEV
0x00126801513514616a6bdbaa866ff7691475d99a,2.432820101350091,-2.0474624366092318,3.0820565,-9.489664,2,2,4,Likely bot / MEV
0x001359f88b63acf76468f6ed0781b4b26a8b33ed,-2.7355888594228537,-0.4974423458026228,12.275785,-10.546328,0,4,3,Casual ETH user
0x001406b25fb536986c621592e54b085482ebb49f,-2.62320837055138,-0.8708827522066842,-0.2179624,-0.24935423,0,5,1,Casual ETH user
0x00152d5586eb1084ff4ad33a9d91c2aa100112a1,0.12432458784310234,-0.24080003968295136,2.2998955,12.906415,3,3,8,Token receiver / airdrop
0x00156e1aa205a2712a68fd96650842ab220f5561,-3.112621908402367,1.5333950833643322,26.692719,-3.1331522,0,4,3,Casual ETH user
0x001b6450083e531a5a7bf310bd2c1af4247e23d4,-3.4184146947065797,2.817352229788053,1.4318128,6.182043,0,4,3,Casual ETH user
0x001d308a9f95506a93a156cc04967ca3b3e46bb7,1.3028817041290979,-0.3801577795668254,13.676676,-4.5835433,3,3,7,Token receiver / airdrop
0x001d31aee3ed7a768b31a131082a098d94a706cc,0.465119604163583,0.7934140065366518,7.206917,-0.086803846,3,3,8,Token receiver / airdrop
0x0021758395ee676dc0ba74e29f8aebbfb3c0e486,0.9197148765386209,-0.4055552613041982,12.324316,7.672404,3,-1,-1,Token receiver / airdrop
0x0026038a7fefef439d94bd99b4a10017e839d3a7,-2.8823104155475123,0.03294434800307295,12.395244,-11.039535,0,4,3,Casual ETH user
0x002bbd91bdbd2d651f67b8774ad875634a93e29a,0.1920325183972145,2.3344946557241,11.718191,-4.8950987,3,3,-1,Token receiver / airdrop
0x002bde9b0c0857aee2cffdea6b8723eaf5989449,-2.300878972607168,-2.7339285685954335,28.866302,-6.6883645,0,1,0,Casual ETH user
0x002d187f016fe5459b2ae687c3f46ce6f5763b0d,1.0956570783483304,-0.9555203288436473,12.528049,7.9625483,3,6,6,Token receiver / airdrop
0x002e5589f147306dbe85b61cfa976b76c3f95424,-2.8913169990303498,0.6288186799256664,-3.7671719,1.389654,0,4,3,Casual ETH user
0x00326804fe6148bf5ce218db6cbb285c4627a4b8,0.8232384364258867,-0.2559259678186124,17.625416,-2.5052636,3,3,8,Token receiver / airdrop
0x00337358fe72c961b968775c06440a0ca80d2554,1.0036286466096083,0.7473973892847838,12.634715,-2.7953758,3,3,7,Token receiver / airdrop
0x003491e2d9dc4763159bfcd8b08ef3177ed688e5,1.1253761201989998,-2.299285976089808,7.073216,-7.5663953,2,2,4,Likely bot / MEV
0x0035e0a1f9aa92ca286e0be55c6bc04c7ed98007,1.6986215376052107,0.47826816090008,9.499045,-0.80584085,3,3,8,Token receiver / airdrop
0x0037825fd75af7eeace28889665e3fac8fdb6300,2.144864339473002,-2.1526677186136394,20.796383,-0.9627899,2,2,4,Likely bot / MEV
0x003896387666c5c11458eeb3f927b72a11b19783,-2.907676019991469,0.5571682011261974,20.907417,4.273446,0,4,3,Casual ETH user
